Label (Grouping),Median income (dollars)
    Nonfamily households,
        Estimate,"33,382"
        Margin of Error,"±16,065"
ZCTA5 97390,
    Households,
        Estimate,"60,846"
        Margin of Error,"±1,400"
    Families,
        Estimate,"61,257"
        Margin of Error,±595
    Married-couple families,
        Estimate,"71,500"
        Margin of Error,"±28,099"
    Nonfamily households,
        Estimate,"26,908"
        Margin of Error,"±8,823"
ZCTA5 97391,
    Households,
        Estimate,"49,265"
        Margin of Error,"±7,228"
    Families,
        Estimate,"62,336"
        Margin of Error,"±8,355"
    Married-couple families,
        Estimate,"68,071"
        Margin of Error,"±8,835"
    Nonfamily households,
        Estimate,"19,228"
        Margin of Error,"±11,324"
ZCTA5 97392,
    Households,
        Estimate,"92,568"
        Margin of Error,"±5,925"
    Families,
        Estimate,"97,257"
        Margin of Error,"±9,383"
    Married-couple families,
        Estimate,"100,552"
        Margin of Error,"±8,425"
    Nonfamily households,
        Estimate,"31,964"
        Margin of Error,"±14,456"
ZCTA5 97394,
    Households,
        Estimate,"49,559"
        Margin of Error,"±4,230"
    Families,
        Estimate,"65,850"
        Margin of Error,"±12,975"
    Married-couple families,
        Estimate,"75,638"
        Margin of Error,"±15,313"
    Nonfamily households,
        Estimate,"26,725"
        Margin of Error,"±10,304"
ZCTA5 97396,
    Households,
        Estimate,"45,163"
        Margin of Error,"±6,916"
    Families,
        Estimate,"54,063"
        Margin of Error,"±13,674"
    Married-couple families,
        Estimate,"65,077"
        Margin of Error,"±13,587"
    Nonfamily households,
        Estimate,"28,750"
        Margin of Error,"±2,653"
ZCTA5 97401,
    Households,
        Estimate,"41,502"
        Margin of Error,"±2,123"
    Families,
        Estimate,"77,917"
        Margin of Error,"±9,432"
    Married-couple families,
        Estimate,"99,788"
        Margin of Error,"±6,709"
    Nonfamily households,
        Estimate,"28,925"
        Margin of Error,"±2,504"
ZCTA5 97402,
    Households,
        Estimate,"46,504"
        Margin of Error,"±2,910"
    Families,
        Estimate,"61,728"
        Margin of Error,"±2,557"
    Married-couple families,
        Estimate,"71,481"
        Margin of Error,"±3,692"
    Nonfamily households,
        Estimate,"32,163"
        Margin of Error,"±3,101"
ZCTA5 97403,
    Households,
        Estimate,"44,540"
        Margin of Error,"±7,745"
    Families,
        Estimate,"101,419"
        Margin of Error,"±17,556"
    Married-couple families,
        Estimate,"120,063"
        Margin of Error,"±26,446"
    Nonfamily households,
        Estimate,"27,467"
        Margin of Error,"±5,629"
ZCTA5 97404,
    Households,
        Estimate,"66,731"
        Margin of Error,"±4,220"
    Families,
        Estimate,"76,842"
        Margin of Error,"±4,306"
    Married-couple families,
        Estimate,"90,864"
        Margin of Error,"±5,109"
    Nonfamily households,
        Estimate,"40,944"
        Margin of Error,"±5,892"
ZCTA5 97405,
    Households,
        Estimate,"72,425"
        Margin of Error,"±3,970"
    Families,
        Estimate,"93,109"
        Margin of Error,"±4,620"
    Married-couple families,
        Estimate,"101,297"
        Margin of Error,"±8,716"
    Nonfamily households,
        Estimate,"41,958"
        Margin of Error,"±5,648"
ZCTA5 97406,
    Households,
        Estimate,"18,658"
        Margin of Error,±335
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97408,
    Households,
        Estimate,"70,931"
        Margin of Error,"±9,608"
    Families,
        Estimate,"100,297"
        Margin of Error,"±10,705"
    Married-couple families,
        Estimate,"107,068"
        Margin of Error,"±8,599"
    Nonfamily households,
        Estimate,"42,778"
        Margin of Error,"±13,221"
ZCTA5 97410,
    Households,
        Estimate,"43,833"
        Margin of Error,"±35,098"
    Families,
        Estimate,"70,667"
        Margin of Error,"±36,475"
    Married-couple families,
        Estimate,"70,917"
        Margin of Error,"±35,020"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97411,
    Households,
        Estimate,"38,054"
        Margin of Error,"±7,397"
    Families,
        Estimate,"55,080"
        Margin of Error,"±9,735"
    Married-couple families,
        Estimate,"61,284"
        Margin of Error,"±11,419"
    Nonfamily households,
        Estimate,"20,090"
        Margin of Error,"±3,357"
ZCTA5 97412,
    Households,
        Estimate,"57,000"
        Margin of Error,"±36,194"
    Families,
        Estimate,"68,750"
        Margin of Error,"±25,275"
    Married-couple families,
        Estimate,"75,625"
        Margin of Error,"±31,379"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97413,
    Households,
        Estimate,"54,172"
        Margin of Error,"±9,523"
    Families,
        Estimate,"54,078"
        Margin of Error,"±1,206"
    Married-couple families,
        Estimate,"54,570"
        Margin of Error,"±15,060"
    Nonfamily households,
        Estimate,"46,500"
        Margin of Error,"±24,382"
ZCTA5 97414,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97415,
    Households,
        Estimate,"54,842"
        Margin of Error,"±4,157"
    Families,
        Estimate,"70,730"
        Margin of Error,"±7,258"
    Married-couple families,
        Estimate,"76,039"
        Margin of Error,"±8,199"
    Nonfamily households,
        Estimate,"30,980"
        Margin of Error,"±7,847"
ZCTA5 97416,
    Households,
        Estimate,"54,750"
        Margin of Error,"±24,270"
    Families,
        Estimate,"71,439"
        Margin of Error,"±18,198"
    Married-couple families,
        Estimate,"72,500"
        Margin of Error,"±8,078"
    Nonfamily households,
        Estimate,"53,256"
        Margin of Error,"±16,624"
ZCTA5 97417,
    Households,
        Estimate,"35,211"
        Margin of Error,"±3,267"
    Families,
        Estimate,"36,661"
        Margin of Error,"±2,269"
    Married-couple families,
        Estimate,"39,386"
        Margin of Error,"±6,506"
    Nonfamily households,
        Estimate,"27,727"
        Margin of Error,"±4,490"
ZCTA5 97419,
    Households,
        Estimate,"45,893"
        Margin of Error,"±11,775"
    Families,
        Estimate,"61,875"
        Margin of Error,"±12,937"
    Married-couple families,
        Estimate,"63,542"
        Margin of Error,"±11,787"
    Nonfamily households,
        Estimate,"18,984"
        Margin of Error,"±4,222"
ZCTA5 97420,
    Households,
        Estimate,"52,447"
        Margin of Error,"±3,575"
    Families,
        Estimate,"68,353"
        Margin of Error,"±6,948"
    Married-couple families,
        Estimate,"78,265"
        Margin of Error,"±8,396"
    Nonfamily households,
        Estimate,"29,481"
        Margin of Error,"±4,990"
ZCTA5 97423,
    Households,
        Estimate,"41,818"
        Margin of Error,"±7,611"
    Families,
        Estimate,"52,731"
        Margin of Error,"±12,771"
    Married-couple families,
        Estimate,"64,650"
        Margin of Error,"±19,411"
    Nonfamily households,
        Estimate,"28,389"
        Margin of Error,"±3,002"
ZCTA5 97424,
    Households,
        Estimate,"54,104"
        Margin of Error,"±3,709"
    Families,
        Estimate,"62,467"
        Margin of Error,"±6,626"
    Married-couple families,
        Estimate,"72,941"
        Margin of Error,"±6,764"
    Nonfamily households,
        Estimate,"34,003"
        Margin of Error,"±4,469"
ZCTA5 97426,
    Households,
        Estimate,"62,845"
        Margin of Error,"±8,336"
    Families,
        Estimate,"80,592"
        Margin of Error,"±6,624"
    Married-couple families,
        Estimate,"82,500"
        Margin of Error,"±5,594"
    Nonfamily households,
        Estimate,"25,338"
        Margin of Error,"±9,708"
ZCTA5 97429,
    Households,
        Estimate,"44,375"
        Margin of Error,"±4,678"
    Families,
        Estimate,"44,861"
        Margin of Error,"±20,370"
    Married-couple families,
        Estimate,"46,667"
        Margin of Error,"±25,134"
    Nonfamily households,
        Estimate,"29,792"
        Margin of Error,"±15,236"
ZCTA5 97430,
    Households,
        Estimate,"46,458"
        Margin of Error,"±1,857"
    Families,
        Estimate,"57,500"
        Margin of Error,"±37,732"
    Married-couple families,
        Estimate,"63,750"
        Margin of Error,"±43,494"
    Nonfamily households,
        Estimate,"25,500"
        Margin of Error,"±23,726"
ZCTA5 97431,
    Households,
        Estimate,"55,150"
        Margin of Error,"±14,353"
    Families,
        Estimate,"56,700"
        Margin of Error,"±22,633"
    Married-couple families,
        Estimate,"56,833"
        Margin of Error,"±27,187"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97434,
    Households,
        Estimate,"36,806"
        Margin of Error,"±9,452"
    Families,
        Estimate,"40,391"
        Margin of Error,"±8,732"
    Married-couple families,
        Estimate,"44,375"
        Margin of Error,"±29,454"
    Nonfamily households,
        Estimate,"31,186"
        Margin of Error,"±6,573"
ZCTA5 97435,
    Households,
        Estimate,"54,583"
        Margin of Error,"±9,492"
    Families,
        Estimate,"67,545"
        Margin of Error,"±15,254"
    Married-couple families,
        Estimate,"72,898"
        Margin of Error,"±15,567"
    Nonfamily households,
        Estimate,"36,083"
        Margin of Error,"±20,480"
ZCTA5 97436,
    Households,
        Estimate,"56,250"
        Margin of Error,"±28,536"
    Families,
        Estimate,"73,864"
        Margin of Error,"±30,596"
    Married-couple families,
        Estimate,"66,250"
        Margin of Error,"±31,430"
    Nonfamily households,
        Estimate,"38,833"
        Margin of Error,"±4,886"
ZCTA5 97437,
    Households,
        Estimate,"71,554"
        Margin of Error,"±14,956"
    Families,
        Estimate,"76,667"
        Margin of Error,"±12,431"
    Married-couple families,
        Estimate,"84,167"
        Margin of Error,"±7,633"
    Nonfamily households,
        Estimate,"50,500"
        Margin of Error,"±28,149"
ZCTA5 97438,
    Households,
        Estimate,"60,000"
        Margin of Error,"±34,186"
    Families,
        Estimate,"82,625"
        Margin of Error,"±46,658"
    Married-couple families,
        Estimate,"98,542"
        Margin of Error,"±55,400"
    Nonfamily households,
        Estimate,"30,375"
        Margin of Error,"±27,530"
ZCTA5 97439,
    Households,
        Estimate,"52,194"
        Margin of Error,"±9,353"
    Families,
        Estimate,"65,077"
        Margin of Error,"±7,242"
    Married-couple families,
        Estimate,"72,705"
        Margin of Error,"±6,118"
    Nonfamily households,
        Estimate,"36,424"
        Margin of Error,"±10,863"
ZCTA5 97441,
    Households,
        Estimate,"44,904"
        Margin of Error,"±22,917"
    Families,
        Estimate,"48,438"
        Margin of Error,"±44,962"
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97442,
    Households,
        Estimate,"47,518"
        Margin of Error,"±10,026"
    Families,
        Estimate,"48,440"
        Margin of Error,"±2,133"
    Married-couple families,
        Estimate,"48,914"
        Margin of Error,"±2,081"
    Nonfamily households,
        Estimate,"19,079"
        Margin of Error,"±11,891"
ZCTA5 97443,
    Households,
        Estimate,"62,222"
        Margin of Error,"±20,337"
    Families,
        Estimate,"65,164"
        Margin of Error,"±12,436"
    Married-couple families,
        Estimate,"67,451"
        Margin of Error,"±3,135"
    Nonfamily households,
        Estimate,"37,000"
        Margin of Error,"±20,456"
ZCTA5 97444,
    Households,
        Estimate,"56,813"
        Margin of Error,"±4,894"
    Families,
        Estimate,"70,484"
        Margin of Error,"±10,973"
    Married-couple families,
        Estimate,"73,288"
        Margin of Error,"±24,467"
    Nonfamily households,
        Estimate,"31,734"
        Margin of Error,"±7,653"
ZCTA5 97446,
    Households,
        Estimate,"46,597"
        Margin of Error,"±10,933"
    Families,
        Estimate,"60,411"
        Margin of Error,"±11,492"
    Married-couple families,
        Estimate,"62,089"
        Margin of Error,"±26,200"
    Nonfamily households,
        Estimate,"38,510"
        Margin of Error,"±14,114"
ZCTA5 97447,
    Households,
        Estimate,"47,794"
        Margin of Error,"±24,894"
    Families,
        Estimate,"73,262"
        Margin of Error,"±5,452"
    Married-couple families,
        Estimate,"73,262"
        Margin of Error,"±5,452"
    Nonfamily households,
        Estimate,"33,320"
        Margin of Error,"±16,523"
ZCTA5 97448,
    Households,
        Estimate,"62,953"
        Margin of Error,"±7,610"
    Families,
        Estimate,"79,221"
        Margin of Error,"±8,730"
    Married-couple families,
        Estimate,"88,272"
        Margin of Error,"±12,509"
    Nonfamily households,
        Estimate,"34,421"
        Margin of Error,"±6,040"
ZCTA5 97449,
    Households,
        Estimate,"42,143"
        Margin of Error,"±6,006"
    Families,
        Estimate,"49,183"
        Margin of Error,"±6,144"
    Married-couple families,
        Estimate,"49,856"
        Margin of Error,"±7,548"
    Nonfamily households,
        Estimate,"28,516"
        Margin of Error,"±6,962"
ZCTA5 97450,
    Households,
        Estimate,"52,577"
        Margin of Error,"±24,457"
    Families,
        Estimate,"48,920"
        Margin of Error,"±34,006"
    Married-couple families,
        Estimate,"52,654"
        Margin of Error,"±18,557"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97451,
    Households,
        Estimate,"118,958"
        Margin of Error,"±43,937"
    Families,
        Estimate,"132,500"
        Margin of Error,"±48,317"
    Married-couple families,
        Estimate,"132,500"
        Margin of Error,"±48,317"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97452,
    Households,
        Estimate,"70,600"
        Margin of Error,"±17,608"
    Families,
        Estimate,"72,150"
        Margin of Error,"±17,261"
    Married-couple families,
        Estimate,"80,192"
        Margin of Error,"±10,833"
    Nonfamily households,
        Estimate,"47,344"
        Margin of Error,"±23,102"
ZCTA5 97453,
    Households,
        Estimate,"37,813"
        Margin of Error,"±8,071"
    Families,
        Estimate,"45,990"
        Margin of Error,"±3,665"
    Married-couple families,
        Estimate,"48,750"
        Margin of Error,"±9,290"
    Nonfamily households,
        Estimate,"22,875"
        Margin of Error,"±5,254"
ZCTA5 97454,
    Households,
        Estimate,"83,688"
        Margin of Error,"±11,087"
    Families,
        Estimate,"83,375"
        Margin of Error,"±13,731"
    Married-couple families,
        Estimate,"90,243"
        Margin of Error,"±13,879"
    Nonfamily households,
        Estimate,"68,125"
        Margin of Error,"±44,478"
ZCTA5 97455,
    Households,
        Estimate,"83,750"
        Margin of Error,"±22,166"
    Families,
        Estimate,"96,719"
        Margin of Error,"±6,814"
    Married-couple families,
        Estimate,"97,054"
        Margin of Error,"±7,597"
    Nonfamily households,
        Estimate,"21,172"
        Margin of Error,"±11,060"
ZCTA5 97456,
    Households,
        Estimate,"49,855"
        Margin of Error,"±5,272"
    Families,
        Estimate,"68,929"
        Margin of Error,"±33,757"
    Married-couple families,
        Estimate,"80,625"
        Margin of Error,"±46,715"
    Nonfamily households,
        Estimate,"38,889"
        Margin of Error,"±13,334"
ZCTA5 97457,
    Households,
        Estimate,"47,788"
        Margin of Error,"±6,090"
    Families,
        Estimate,"59,868"
        Margin of Error,"±7,219"
    Married-couple families,
        Estimate,"66,660"
        Margin of Error,"±5,471"
    Nonfamily households,
        Estimate,"25,426"
        Margin of Error,"±9,819"
ZCTA5 97458,
    Households,
        Estimate,"40,179"
        Margin of Error,"±8,954"
    Families,
        Estimate,"56,938"
        Margin of Error,"±17,821"
    Married-couple families,
        Estimate,"70,823"
        Margin of Error,"±9,273"
    Nonfamily households,
        Estimate,"20,967"
        Margin of Error,"±3,207"
ZCTA5 97459,
    Households,
        Estimate,"64,608"
        Margin of Error,"±9,790"
    Families,
        Estimate,"83,631"
        Margin of Error,"±13,205"
    Married-couple families,
        Estimate,"99,018"
        Margin of Error,"±17,866"
    Nonfamily households,
        Estimate,"30,666"
        Margin of Error,"±7,225"
ZCTA5 97461,
    Households,
        Estimate,"97,188"
        Margin of Error,"±56,062"
    Families,
        Estimate,"98,690"
        Margin of Error,"±74,156"
    Married-couple families,
        Estimate,"141,514"
        Margin of Error,"±22,438"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97462,
    Households,
        Estimate,"49,459"
        Margin of Error,"±4,489"
    Families,
        Estimate,"63,558"
        Margin of Error,"±21,260"
    Married-couple families,
        Estimate,"76,711"
        Margin of Error,"±19,182"
    Nonfamily households,
        Estimate,"30,886"
        Margin of Error,"±5,181"
ZCTA5 97463,
    Households,
        Estimate,"32,583"
        Margin of Error,"±4,728"
    Families,
        Estimate,"40,531"
        Margin of Error,"±12,486"
    Married-couple families,
        Estimate,"61,389"
        Margin of Error,"±18,552"
    Nonfamily households,
        Estimate,"29,738"
        Margin of Error,"±4,613"
ZCTA5 97465,
    Households,
        Estimate,"32,236"
        Margin of Error,"±8,377"
    Families,
        Estimate,"46,591"
        Margin of Error,"±21,991"
    Married-couple families,
        Estimate,"61,615"
        Margin of Error,"±15,383"
    Nonfamily households,
        Estimate,"14,844"
        Margin of Error,"±11,312"
ZCTA5 97466,
    Households,
        Estimate,"40,682"
        Margin of Error,"±17,088"
    Families,
        Estimate,"40,000"
        Margin of Error,"±13,153"
    Married-couple families,
        Estimate,"50,385"
        Margin of Error,"±19,407"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97467,
    Households,
        Estimate,"41,317"
        Margin of Error,"±9,155"
    Families,
        Estimate,"54,073"
        Margin of Error,"±11,459"
    Married-couple families,
        Estimate,"66,917"
        Margin of Error,"±7,516"
    Nonfamily households,
        Estimate,"22,411"
        Margin of Error,"±6,469"
ZCTA5 97469,
    Households,
        Estimate,"51,037"
        Margin of Error,"±7,748"
    Families,
        Estimate,"56,016"
        Margin of Error,"±8,209"
    Married-couple families,
        Estimate,"61,875"
        Margin of Error,"±11,333"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97470,
    Households,
        Estimate,"46,032"
        Margin of Error,"±3,994"
    Families,
        Estimate,"54,211"
        Margin of Error,"±6,138"
    Married-couple families,
        Estimate,"60,617"
        Margin of Error,"±3,377"
    Nonfamily households,
        Estimate,"32,518"
        Margin of Error,"±4,113"
ZCTA5 97471,
    Households,
        Estimate,"54,821"
        Margin of Error,"±4,269"
    Families,
        Estimate,"67,708"
        Margin of Error,"±10,100"
    Married-couple families,
        Estimate,"79,034"
        Margin of Error,"±5,999"
    Nonfamily households,
        Estimate,"28,851"
        Margin of Error,"±4,600"
ZCTA5 97473,
    Households,
        Estimate,"47,083"
        Margin of Error,"±22,608"
    Families,
        Estimate,"54,625"
        Margin of Error,"±19,665"
    Married-couple families,
        Estimate,"53,500"
        Margin of Error,"±27,555"
    Nonfamily households,
        Estimate,"23,125"
        Margin of Error,"±7,909"
ZCTA5 97476,
    Households,
        Estimate,"55,526"
        Margin of Error,"±42,502"
    Families,
        Estimate,"55,526"
        Margin of Error,"±42,502"
    Married-couple families,
        Estimate,"55,526"
        Margin of Error,"±42,502"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97477,
    Households,
        Estimate,"48,644"
        Margin of Error,"±2,774"
    Families,
        Estimate,"57,622"
        Margin of Error,"±3,292"
    Married-couple families,
        Estimate,"72,118"
        Margin of Error,"±4,448"
    Nonfamily households,
        Estimate,"31,104"
        Margin of Error,"±2,617"
ZCTA5 97478,
    Households,
        Estimate,"64,536"
        Margin of Error,"±4,479"
    Families,
        Estimate,"72,432"
        Margin of Error,"±4,033"
    Married-couple families,
        Estimate,"78,086"
        Margin of Error,"±4,115"
    Nonfamily households,
        Estimate,"34,267"
        Margin of Error,"±7,223"
ZCTA5 97479,
    Households,
        Estimate,"49,549"
        Margin of Error,"±6,979"
    Families,
        Estimate,"64,412"
        Margin of Error,"±7,993"
    Married-couple families,
        Estimate,"68,780"
        Margin of Error,"±8,403"
    Nonfamily households,
        Estimate,"22,018"
        Margin of Error,"±5,974"
ZCTA5 97480,
    Households,
        Estimate,"33,125"
        Margin of Error,"±1,816"
    Families,
        Estimate,"34,712"
        Margin of Error,"±14,818"
    Married-couple families,
        Estimate,"41,250"
        Margin of Error,"±37,611"
    Nonfamily households,
        Estimate,"24,722"
        Margin of Error,"±10,901"
ZCTA5 97481,
    Households,
        Estimate,"80,577"
        Margin of Error,"±74,106"
    Families,
        Estimate,"58,106"
        Margin of Error,"±7,192"
    Married-couple families,
        Estimate,"58,902"
        Margin of Error,"±10,477"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97484,
    Households,
        Estimate,"36,806"
        Margin of Error,"±15,853"
    Families,
        Estimate,"37,222"
        Margin of Error,"±29,152"
    Married-couple families,
        Estimate,"51,250"
        Margin of Error,"±41,059"
    Nonfamily households,
        Estimate,"24,531"
        Margin of Error,"±16,253"
ZCTA5 97486,
    Households,
        Estimate,"56,136"
        Margin of Error,"±45,740"
    Families,
        Estimate,"50,288"
        Margin of Error,"±37,286"
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97487,
    Households,
        Estimate,"52,435"
        Margin of Error,"±5,473"
    Families,
        Estimate,"59,141"
        Margin of Error,"±8,206"
    Married-couple families,
        Estimate,"81,797"
        Margin of Error,"±14,237"
    Nonfamily households,
        Estimate,"29,028"
        Margin of Error,"±18,745"
ZCTA5 97488,
    Households,
        Estimate,"75,878"
        Margin of Error,"±10,862"
    Families,
        Estimate,"83,583"
        Margin of Error,"±21,209"
    Married-couple families,
        Estimate,"84,167"
        Margin of Error,"±22,956"
    Nonfamily households,
        Estimate,"41,927"
        Margin of Error,"±10,600"
ZCTA5 97489,
    Households,
        Estimate,"80,667"
        Margin of Error,"±20,146"
    Families,
        Estimate,"86,250"
        Margin of Error,"±26,142"
    Married-couple families,
        Estimate,"122,857"
        Margin of Error,"±45,622"
    Nonfamily households,
        Estimate,"42,188"
        Margin of Error,"±37,982"
ZCTA5 97490,
    Households,
        Estimate,"88,750"
        Margin of Error,"±69,810"
    Families,
        Estimate,"89,375"
        Margin of Error,"±66,281"
    Married-couple families,
        Estimate,"102,656"
        Margin of Error,"±68,512"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97492,
    Households,
        Estimate,"26,849"
        Margin of Error,"±7,010"
    Families,
        Estimate,"44,844"
        Margin of Error,"±19,766"
    Married-couple families,
        Estimate,"51,250"
        Margin of Error,"±18,544"
    Nonfamily households,
        Estimate,"26,307"
        Margin of Error,±350
ZCTA5 97493,
    Households,
        Estimate,"53,750"
        Margin of Error,"±13,353"
    Families,
        Estimate,"53,977"
        Margin of Error,"±15,012"
    Married-couple families,
        Estimate,"59,318"
        Margin of Error,"±12,210"
    Nonfamily households,
        Estimate,"51,667"
        Margin of Error,"±28,311"
ZCTA5 97494,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97495,
    Households,
        Estimate,"92,132"
        Margin of Error,"±15,688"
    Families,
        Estimate,"94,598"
        Margin of Error,"±23,840"
    Married-couple families,
        Estimate,"102,976"
        Margin of Error,"±24,076"
    Nonfamily households,
        Estimate,"51,518"
        Margin of Error,"±43,941"
ZCTA5 97496,
    Households,
        Estimate,"46,488"
        Margin of Error,"±9,219"
    Families,
        Estimate,"56,425"
        Margin of Error,"±4,947"
    Married-couple families,
        Estimate,"60,986"
        Margin of Error,"±15,483"
    Nonfamily households,
        Estimate,"33,149"
        Margin of Error,"±10,440"
ZCTA5 97497,
    Households,
        Estimate,"33,333"
        Margin of Error,"±9,499"
    Families,
        Estimate,"56,940"
        Margin of Error,"±25,848"
    Married-couple families,
        Estimate,"83,000"
        Margin of Error,"±28,504"
    Nonfamily households,
        Estimate,"22,212"
        Margin of Error,"±20,776"
ZCTA5 97498,
    Households,
        Estimate,"54,167"
        Margin of Error,"±10,231"
    Families,
        Estimate,"63,750"
        Margin of Error,"±14,221"
    Married-couple families,
        Estimate,"69,583"
        Margin of Error,"±16,122"
    Nonfamily households,
        Estimate,"38,158"
        Margin of Error,"±13,448"
ZCTA5 97499,
    Households,
        Estimate,"50,527"
        Margin of Error,"±9,090"
    Families,
        Estimate,"53,276"
        Margin of Error,"±7,911"
    Married-couple families,
        Estimate,"61,607"
        Margin of Error,"±11,499"
    Nonfamily households,
        Estimate,"26,359"
        Margin of Error,"±14,012"
ZCTA5 97501,
    Households,
        Estimate,"48,865"
        Margin of Error,"±2,558"
    Families,
        Estimate,"55,264"
        Margin of Error,"±3,185"
    Married-couple families,
        Estimate,"68,285"
        Margin of Error,"±8,180"
    Nonfamily households,
        Estimate,"31,240"
        Margin of Error,"±4,047"
ZCTA5 97502,
    Households,
        Estimate,"72,650"
        Margin of Error,"±6,511"
    Families,
        Estimate,"80,402"
        Margin of Error,"±3,132"
    Married-couple families,
        Estimate,"84,929"
        Margin of Error,"±8,133"
    Nonfamily households,
        Estimate,"35,992"
        Margin of Error,"±6,940"
ZCTA5 97503,
    Households,
        Estimate,"54,204"
        Margin of Error,"±9,104"
    Families,
        Estimate,"56,675"
        Margin of Error,"±9,326"
    Married-couple families,
        Estimate,"62,839"
        Margin of Error,"±5,054"
    Nonfamily households,
        Estimate,"24,406"
        Margin of Error,"±16,273"
ZCTA5 97504,
    Households,
        Estimate,"62,219"
        Margin of Error,"±3,872"
    Families,
        Estimate,"79,223"
        Margin of Error,"±4,451"
    Married-couple families,
        Estimate,"87,822"
        Margin of Error,"±4,079"
    Nonfamily households,
        Estimate,"37,526"
        Margin of Error,"±3,179"
ZCTA5 97520,
    Households,
        Estimate,"58,590"
        Margin of Error,"±6,094"
    Families,
        Estimate,"92,271"
        Margin of Error,"±10,691"
    Married-couple families,
        Estimate,"104,876"
        Margin of Error,"±10,167"
    Nonfamily households,
        Estimate,"32,084"
        Margin of Error,"±3,572"
ZCTA5 97522,
    Households,
        Estimate,"40,833"
        Margin of Error,"±9,107"
    Families,
        Estimate,"46,771"
        Margin of Error,"±18,661"
    Married-couple families,
        Estimate,"59,022"
        Margin of Error,"±14,767"
    Nonfamily households,
        Estimate,"18,906"
        Margin of Error,"±14,144"
ZCTA5 97523,
    Households,
        Estimate,"35,792"
        Margin of Error,"±4,468"
    Families,
        Estimate,"41,597"
        Margin of Error,"±9,872"
    Married-couple families,
        Estimate,"45,905"
        Margin of Error,"±15,232"
    Nonfamily households,
        Estimate,"24,625"
        Margin of Error,"±5,120"
ZCTA5 97524,
    Households,
        Estimate,"69,825"
        Margin of Error,"±8,311"
    Families,
        Estimate,"76,879"
        Margin of Error,"±11,061"
    Married-couple families,
        Estimate,"86,208"
        Margin of Error,"±7,050"
    Nonfamily households,
        Estimate,"34,539"
        Margin of Error,"±9,332"
ZCTA5 97525,
    Households,
        Estimate,"57,823"
        Margin of Error,"±7,147"
    Families,
        Estimate,"61,014"
        Margin of Error,"±1,695"
    Married-couple families,
        Estimate,"61,953"
        Margin of Error,"±10,997"
    Nonfamily households,
        Estimate,"35,375"
        Margin of Error,"±19,633"
ZCTA5 97526,
    Households,
        Estimate,"49,906"
        Margin of Error,"±4,190"
    Families,
        Estimate,"61,002"
        Margin of Error,"±7,337"
    Married-couple families,
        Estimate,"70,313"
        Margin of Error,"±5,917"
    Nonfamily households,
        Estimate,"31,759"
        Margin of Error,"±4,488"
ZCTA5 97527,
    Households,
        Estimate,"49,744"
        Margin of Error,"±6,404"
    Families,
        Estimate,"58,381"
        Margin of Error,"±3,777"
    Married-couple families,
        Estimate,"64,969"
        Margin of Error,"±4,928"
    Nonfamily households,
        Estimate,"25,749"
        Margin of Error,"±3,869"
ZCTA5 97530,
    Households,
        Estimate,"87,254"
        Margin of Error,"±11,128"
    Families,
        Estimate,"100,061"
        Margin of Error,"±11,400"
    Married-couple families,
        Estimate,"100,945"
        Margin of Error,"±10,318"
    Nonfamily households,
        Estimate,"49,297"
        Margin of Error,"±22,169"
ZCTA5 97531,
    Households,
        Estimate,"45,813"
        Margin of Error,"±36,004"
    Families,
        Estimate,"45,813"
        Margin of Error,"±36,004"
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97532,
    Households,
        Estimate,"56,272"
        Margin of Error,"±7,981"
    Families,
        Estimate,"55,685"
        Margin of Error,"±5,149"
    Married-couple families,
        Estimate,"56,707"
        Margin of Error,"±12,575"
    Nonfamily households,
        Estimate,"37,917"
        Margin of Error,"±29,687"
